C (MLE),Nc,C*
349227,1,349227.0
67993,1,67993.0
52330,1,52330.0
37030,1,37030.0
33466,1,33466.0
32769,1,32769.0
25255,1,25255.0
22292,1,22292.0
21966,1,21966.0
15830,1,15830.0
13723,1,13723.0
13462,1,13462.0
12881,1,12881.0
12879,1,12879.0
12278,1,12278.0
10974,1,10974.0
10810,2,10810.0
10521,1,10521.0
9830,1,9830.0
9571,1,9571.0
9511,1,9511.0
9369,1,9369.0
9267,1,9267.0
9146,1,9146.0
8785,1,8785.0
8645,1,8645.0
8326,1,8326.0
8222,1,8222.0
7913,1,7913.0
7743,1,7743.0
7696,1,7696.0
7580,1,7580.0
7526,1,7526.0
7454,1,7454.0
7378,1,7378.0
6985,1,6985.0
6859,1,6859.0
6828,1,6828.0
6684,1,6684.0
6676,1,6676.0
6634,1,6634.0
6629,1,6629.0
6467,1,6467.0
6357,1,6357.0
6205,1,6205.0
6117,1,6117.0
5923,1,5923.0
5915,1,5915.0
5894,1,5894.0
5743,1,5743.0
5541,1,5541.0
5485,1,5485.0
5436,1,5436.0
5434,1,5434.0
5266,1,5266.0
5264,1,5264.0
5254,1,5254.0
5208,1,5208.0
5205,1,5205.0
5104,1,5104.0
5034,1,5034.0
4957,1,4957.0
4942,1,4942.0
4926,1,4926.0
4922,1,4922.0
4853,1,4853.0
4839,1,4839.0
4732,1,4732.0
4672,1,4672.0
4665,1,4665.0
4654,1,4654.0
4646,1,4646.0
4629,1,4629.0
4481,1,4481.0
4429,1,4429.0
4413,1,4413.0
4377,1,4377.0
4253,1,4253.0
4197,1,4197.0
4185,1,4185.0
4135,2,4135.0
4078,1,4078.0
4044,1,4044.0
4033,1,4033.0
4028,1,4028.0
4020,1,4020.0
4017,1,4017.0
3995,1,3995.0
3989,1,3989.0
3986,1,3986.0
3967,1,3967.0
3965,1,3965.0
3944,1,3944.0
3943,1,3944.0
3906,1,3906.0
3857,1,3857.0
3832,1,3832.0
3807,1,3807.0
3802,1,3802.0
3797,1,3797.0
