C (MLE),Nc,C*
349227,1,349227
249777,1,249777
161255,1,161255
142408,1,142408
112471,1,112471
108782,1,108782
108647,1,108647
84045,1,84045
82278,1,82278
81698,1,81698
73428,1,73428
72379,1,72379
71059,1,71059
52330,1,52330
51535,1,51535
47954,1,47954
44285,1,44285
43409,1,43409
40378,1,40378
37030,1,37030
35519,1,35519
33670,1,33670
33466,1,33466
32728,1,32728
31096,1,31096
29219,1,29219
28700,1,28700
28155,1,28155
27757,1,27757
27153,1,27153
26653,1,26653
26634,1,26634
24979,1,24979
24380,1,24380
23874,1,23874
23765,1,23765
23704,1,23704
23034,1,23034
22292,1,22292
22205,1,22205
22031,1,22031
22011,1,22011
21966,1,21966
21601,1,21601
20865,1,20865
20262,1,20262
20197,1,20197
20106,1,20106
19966,1,19966
19732,1,19732
19401,1,19401
19203,1,19203
18946,1,18946
18886,1,18886
18813,1,18813
18642,1,18642
18406,1,18406
17671,1,17671
17340,1,17340
17292,1,17292
16870,1,16870
16848,1,16848
16767,1,16767
16052,1,16052
15647,1,15647
15483,1,15483
15293,1,15293
15006,1,15006
14956,1,14956
14868,1,14868
14769,1,14769
14714,1,14714
14628,1,14628
14586,1,14586
14580,1,14580
14444,1,14444
14368,1,14368
14253,1,14253
14144,1,14144
14084,1,14084
14000,1,14000
13980,1,13980
13958,1,13958
13828,1,13828
13824,1,13824
13696,1,13696
13604,1,13604
13262,1,13262
13242,1,13242
13145,1,13145
13037,1,13037
12884,1,12884
12349,1,12349
12128,1,12128
12088,1,12088
11884,1,11884
11871,1,11871
11832,1,11832
11492,1,11492
11458,1,11458
